Date : 2025-07-07 11:17:16
Directory : d:\project
Total : 155 files,  19293 codes, 668 comments, 1844 blanks, all 21805 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript JSX   |         54 |     13,309 |        545 |      1,241 |     15,095 |
| JSON             |          2 |      3,864 |          0 |          2 |      3,866 |
| Python           |         84 |      1,627 |        101 |        476 |      2,204 |
| Markdown         |          3 |        333 |          0 |         94 |        427 |
| JavaScript       |          3 |         60 |          4 |          6 |         70 |
| pip requirements |          1 |         21 |          0 |          0 |         21 |
| Ignore           |          2 |         20 |          8 |          9 |         37 |
| Docker           |          2 |         17 |          8 |         10 |         35 |
| YAML             |          1 |         16 |          0 |          2 |         18 |
| Django HTML      |          1 |         13 |          0 |          1 |         14 |
| PostCSS          |          1 |         12 |          2 |          3 |         17 |
| XML              |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        155 |     19,293 |        668 |      1,844 |     21,805 |
| . (Files)                                                                      |          2 |        326 |          0 |         88 |        414 |
| backend                                                                        |         87 |      1,676 |        110 |        494 |      2,280 |
| backend (Files)                                                                |          5 |         64 |         12 |         24 |        100 |
| backend\Notification                                                           |         11 |         93 |          5 |         41 |        139 |
| backend\Notification (Files)                                                   |          8 |         54 |          3 |         26 |         83 |
| backend\Notification\migrations                                                |          3 |         39 |          2 |         15 |         56 |
| backend\backend                                                                |          5 |        109 |         59 |         55 |        223 |
| backend\contactform                                                            |          9 |         61 |          4 |         21 |         86 |
| backend\contactform (Files)                                                    |          7 |         41 |          3 |         13 |         57 |
| backend\contactform\migrations                                                 |          2 |         20 |          1 |          8 |         29 |
| backend\customauth                                                             |          5 |         69 |          1 |         20 |         90 |
| backend\customuser                                                             |         10 |        172 |          3 |         46 |        221 |
| backend\customuser (Files)                                                     |          7 |        130 |          1 |         32 |        163 |
| backend\customuser\migrations                                                  |          3 |         42 |          2 |         14 |         58 |
| backend\lms                                                                    |         10 |        358 |          5 |         89 |        452 |
| backend\lms (Files)                                                            |          7 |        276 |          3 |         75 |        354 |
| backend\lms\migrations                                                         |          3 |         82 |          2 |         14 |         98 |
| backend\nurse                                                                  |         10 |        194 |          5 |         55 |        254 |
| backend\nurse (Files)                                                          |          8 |        160 |          4 |         47 |        211 |
| backend\nurse\migrations                                                       |          2 |         34 |          1 |          8 |         43 |
| backend\student                                                                |         10 |        155 |          5 |         41 |        201 |
| backend\student (Files)                                                        |          8 |        119 |          4 |         33 |        156 |
| backend\student\migrations                                                     |          2 |         36 |          1 |          8 |         45 |
| backend\tms                                                                    |         12 |        401 |         11 |        102 |        514 |
| backend\tms (Files)                                                            |          8 |        324 |          8 |         82 |        414 |
| backend\tms\migrations                                                         |          4 |         77 |          3 |         20 |        100 |
| docker                                                                         |          1 |         16 |          0 |          2 |         18 |
| frontend                                                                       |         65 |     17,275 |        558 |      1,260 |     19,093 |
| frontend (Files)                                                               |          9 |      3,953 |         11 |         16 |      3,980 |
| frontend\src                                                                   |         56 |     13,322 |        547 |      1,244 |     15,113 |
| frontend\src (Files)                                                           |          3 |        260 |          3 |         18 |        281 |
| frontend\src\api                                                               |          5 |        257 |          2 |         77 |        336 |
| frontend\src\assets                                                            |          1 |          1 |          0 |          0 |          1 |
| frontend\src\components                                                        |         12 |      3,266 |        142 |        260 |      3,668 |
| frontend\src\components\SmallComponent                                         |          2 |         83 |          3 |          7 |         93 |
| frontend\src\components\UI                                                     |         10 |      3,183 |        139 |        253 |      3,575 |
| frontend\src\components\UI (Files)                                             |          4 |        751 |         40 |         62 |        853 |
| frontend\src\components\UI\Shared                                              |          3 |      1,397 |         66 |         91 |      1,554 |
| frontend\src\components\UI\Sidebar                                             |          3 |      1,035 |         33 |        100 |      1,168 |
| frontend\src\context                                                           |          1 |         71 |          0 |         18 |         89 |
| frontend\src\hooks                                                             |          1 |          7 |          0 |          0 |          7 |
| frontend\src\pages                                                             |         27 |      9,402 |        400 |        861 |     10,663 |
| frontend\src\pages (Files)                                                     |          6 |        540 |          9 |         44 |        593 |
| frontend\src\pages\LMS                                                         |          8 |      3,671 |        139 |        325 |      4,135 |
| frontend\src\pages\NMS                                                         |          6 |      2,413 |        104 |        228 |      2,745 |
